Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
x;newton_raphson.hpp;50;3.3120174407958984;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.352485179901123;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;3.689103364944458;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.9449260234832764;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;1.9080233573913574;1-8;Random bit-flip;1
delta;newton_raphson.hpp;46;5.338727712631226;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;6.278322696685791;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;5.166011095046997;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;8.220977067947388;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;2.4570302963256836;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;4.627608060836792;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;4.810972213745117;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;1.7312545776367188;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;5.360403299331665;1-8;Random bit-flip;1
set;../sysdeps/unix/sysv/linux/raise.c;39;13.95424747467041;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;2.3469862937927246;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.315809726715088;1-8;Random bit-flip;1
lock;abort.c;46;13.890065670013428;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;6.750921726226807;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.0321743488311768;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;14.321191787719727;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;3.3846981525421143;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;7.335385322570801;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.4877939224243164;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.831094264984131;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;7.4989025592803955;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.869359970092773;1-8;Random bit-flip;1
i;newton_raphson_dup.cpp;68;13.233575582504272;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;1.754645824432373;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;4.197175741195679;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;6.8917388916015625;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;3.224001884460449;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;7.043447017669678;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.9439501762390137;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;4.090916156768799;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;8.139670372009277;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;4.458829402923584;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.838690757751465;1-8;Random bit-flip;1
size;newton_raphson_dup.cpp;67;14.242066383361816;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.177200078964233;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;3.038210391998291;1-8;Random bit-flip;1
results;newton_raphson_dup.cpp;28;6.64105224609375;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;8.19526195526123;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;5.7000322341918945;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;6.203083276748657;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.0847861766815186;1-8;Random bit-flip;1
delta;newton_raphson.hpp;46;5.061277151107788;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;7.775264501571655;1-8;Random bit-flip;1
size;newton_raphson_dup.cpp;67;13.41687560081482;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.831151723861694;1-8;Random bit-flip;1
results;newton_raphson_dup.cpp;28;4.957756519317627;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;2.7982728481292725;1-8;Random bit-flip;1
delta;newton_raphson.hpp;46;2.9625236988067627;1-8;Random bit-flip;1
cs;../sysdeps/ieee754/dbl-64/s_sin.c;160;1.9096765518188477;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;8.928771018981934;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;7.303810358047485;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;8.600181341171265;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.149076461791992;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.039210081100464;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;5.297200441360474;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;7.7477006912231445;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;5.747380495071411;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;8.015064716339111;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;7.791024208068848;1-8;Random bit-flip;1
sn;../sysdeps/ieee754/dbl-64/s_sin.c;221;3.326446533203125;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;2.057745933532715;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;13.065319776535034;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;3.723435878753662;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;8.061818599700928;1-8;Random bit-flip;1
__for_end;newton_raphson_dup.cpp;0;13.761256694793701;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;3.411247968673706;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.952032566070557;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;5.3710222244262695;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;1.5177876949310303;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;3.8153562545776367;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;2.4568865299224854;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.9147326946258545;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.2786669731140137;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.8589489459991455;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;8.213690519332886;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.0985569953918457;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;1.1307601928710938;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;2.6454524993896484;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;2.0752484798431396;1-8;Random bit-flip;1
size;newton_raphson_dup.cpp;67;14.226951599121094;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;2.3433096408843994;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;2.3657944202423096;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.588406562805176;1-8;Random bit-flip;1
df_x;newton_raphson.hpp;58;5.768321990966797;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.5709168910980225;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.6039907932281494;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.245620012283325;1-8;Random bit-flip;1
PI;newton_raphson_dup.cpp;16;6.33670449256897;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.604644060134888;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.6156411170959473;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;2.922905921936035;1-8;Random bit-flip;1
i;newton_raphson_dup.cpp;68;13.550822257995605;1-8;Random bit-flip;1
ccs;../sysdeps/ieee754/dbl-64/s_sin.c;247;7.961724519729614;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.395390510559082;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;2.9099528789520264;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;4.9561848640441895;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.418154001235962;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;8.062559127807617;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.814914226531982;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;5.502927780151367;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;8.849701166152954;1-8;Random bit-flip;1
PI;newton_raphson_dup.cpp;16;6.817719459533691;1-8;Random bit-flip;1
results;newton_raphson_dup.cpp;28;5.097975015640259;1-8;Random bit-flip;1
A;newton_raphson_dup.cpp;15;5.671499013900757;1-8;Random bit-flip;1
size;newton_raphson_dup.cpp;67;13.613966703414917;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.411424398422241;1-8;Random bit-flip;1
delta;newton_raphson.hpp;46;1.9121930599212646;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.7982118129730225;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;7.637263536453247;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;3.8573715686798096;1-8;Random bit-flip;1
size;newton_raphson_dup.cpp;67;13.340144395828247;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;2.226909637451172;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;15.568604707717896;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.580280065536499;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.93162202835083;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;5.366497039794922;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;2.824467420578003;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;5.679128646850586;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;1.4263994693756104;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.579314708709717;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;1.944040298461914;1-8;Random bit-flip;1
lock;abort.c;46;14.358710527420044;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;4.33846116065979;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.668594598770142;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;6.302735805511475;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.288646936416626;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;3.0833077430725098;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;2.4875106811523438;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.7206718921661377;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;3.30367112159729;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;8.323116064071655;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;2.2314255237579346;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;2.7083466053009033;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;3.3995635509490967;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;5.286613702774048;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;3.765331268310547;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;1.4168789386749268;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;2.6677043437957764;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;4.83922553062439;1-8;Random bit-flip;1
__for_begin;newton_raphson_dup.cpp;0;15.330745697021484;1-8;Random bit-flip;1
i;newton_raphson_dup.cpp;68;15.557424783706665;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.8210608959198;1-8;Random bit-flip;1
debug;newton_raphson.hpp;48;3.4494237899780273;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.909128665924072;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.4855198860168457;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.821635007858276;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;4.142250299453735;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;2.682774305343628;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.422945499420166;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;5.6882147789001465;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.838034152984619;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.8103785514831543;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;8.497640132904053;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.258713006973267;1-8;Random bit-flip;1
PI;newton_raphson_dup.cpp;16;4.945641994476318;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;7.922242164611816;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;7.494412660598755;1-8;Random bit-flip;1
debug;newton_raphson.hpp;48;5.815948963165283;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;2.795184373855591;1-8;Random bit-flip;1
f;newton_raphson.hpp;34;4.698227643966675;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;7.587330102920532;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.407171726226807;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;2.7080421447753906;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;5.1589531898498535;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;1.643390417098999;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;1.8040480613708496;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.777591705322266;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;3.47711443901062;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;1.6586692333221436;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;4.667830467224121;1-8;Random bit-flip;1
i;newton_raphson_dup.cpp;68;13.845744371414185;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;5.23173975944519;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;2.8503308296203613;1-8;Random bit-flip;1
x0;newton_raphson.hpp;44;8.111941576004028;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;5.748867034912109;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.818986177444458;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.5710980892181396;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.3491926193237305;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;7.0787835121154785;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.0705816745758057;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;2.244256019592285;1-8;Random bit-flip;1
df_x;newton_raphson.hpp;58;1.9044060707092285;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;3.1396782398223877;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;8.900050640106201;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;4.188047409057617;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;2.8800785541534424;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.4134676456451416;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;7.623808145523071;1-8;Random bit-flip;1
cs;../sysdeps/ieee754/dbl-64/s_sin.c;247;4.661699533462524;1-8;Random bit-flip;1
delta;newton_raphson.hpp;46;4.046519756317139;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;3.6115365028381348;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;7.950984716415405;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;2.1943001747131348;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;1.4448986053466797;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;4.34503960609436;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;8.160846710205078;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.4006597995758057;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.10286021232605;1-8;Random bit-flip;1
stage;abort.c;43;13.24196743965149;1-8;Random bit-flip;1
value;newton_raphson_dup.cpp;83;15.426714658737183;1-8;Random bit-flip;1
__x;/usr/include/c++/7/bits/std_abs.h;70;3.736403226852417;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;4.0122833251953125;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;2.0331499576568604;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.0961081981658936;1-8;Random bit-flip;1
mxcsr;../sysdeps/i386/fpu/fenv_private.h;444;7.124648809432983;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.165243625640869;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.189989805221558;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.032264947891235;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;8.691708326339722;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;5.747061491012573;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.717050313949585;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;5.616170167922974;1-8;Random bit-flip;1
PI;newton_raphson_dup.cpp;16;2.342745780944824;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;7.988889694213867;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;3.5142221450805664;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;1.5320611000061035;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;7.863693714141846;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;3.9596965312957764;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.560749053955078;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;1.801215648651123;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.347935199737549;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;5.072055101394653;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;7.07778787612915;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;8.159934282302856;1-8;Random bit-flip;1
set;../sysdeps/unix/sysv/linux/raise.c;39;15.195741176605225;1-8;Random bit-flip;1
results;newton_raphson_dup.cpp;28;5.912701606750488;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;1.7258877754211426;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;3.5928964614868164;1-8;Random bit-flip;1
A;newton_raphson_dup.cpp;15;3.896491289138794;1-8;Random bit-flip;1
sn;../sysdeps/ieee754/dbl-64/s_sin.c;221;5.857104539871216;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;7.579870700836182;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.076854944229126;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.055433034896851;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;1.1675798892974854;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.574962854385376;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;1.0966551303863525;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;7.1469762325286865;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;4.729216575622559;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;2.005795478820801;1-8;Random bit-flip;1
results2;newton_raphson_dup.cpp;45;8.260021686553955;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;4.087124824523926;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;8.022453784942627;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.756005525588989;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.3946473598480225;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.005929708480835;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;4.646254539489746;1-8;Random bit-flip;1
size;newton_raphson_dup.cpp;67;15.476550340652466;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;2.785555124282837;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.428308248519897;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;7.765713214874268;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;2.6204538345336914;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;4.948665618896484;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;8.232130765914917;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;1.4606149196624756;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;3.091503620147705;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.457899570465088;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;3.9716060161590576;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;5.326884746551514;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;4.917109489440918;1-8;Random bit-flip;1
value;newton_raphson_dup.cpp;83;13.981890201568604;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;5.0542521476745605;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;3.959357500076294;1-8;Random bit-flip;1
this;newton_raphson_dup.cpp;0;13.330190896987915;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;7.303184747695923;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;5.777925491333008;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;1.5238683223724365;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;2.6423792839050293;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.557052135467529;1-8;Random bit-flip;1
A;newton_raphson_dup.cpp;15;6.702039003372192;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;2.307828187942505;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;7.522355318069458;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;2.1600539684295654;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.419849157333374;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;6.2223734855651855;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;4.6957526206970215;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;7.3622801303863525;1-8;Random bit-flip;1
results;newton_raphson_dup.cpp;28;8.011285066604614;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.9595015048980713;1-8;Random bit-flip;1
df_x_too_small;newton_raphson.hpp;53;2.691343069076538;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;4.931201457977295;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;3.3999950885772705;1-8;Random bit-flip;1
i;newton_raphson_dup.cpp;68;14.250277519226074;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;5.584892988204956;1-8;Random bit-flip;1
PI;newton_raphson_dup.cpp;16;3.938072919845581;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;5.649860620498657;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;5.983021974563599;1-8;Random bit-flip;1
h;newton_raphson.hpp;47;5.34924578666687;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;1.9634900093078613;1-8;Random bit-flip;1
value;newton_raphson_dup.cpp;83;13.8419668674469;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;1.1274199485778809;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.732133626937866;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.7090237140655518;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;7.45737886428833;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;2.8946585655212402;1-8;Random bit-flip;1
results1;newton_raphson_dup.cpp;43;6.858725309371948;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;3.7075791358947754;1-8;Random bit-flip;1
sn;../sysdeps/ieee754/dbl-64/s_sin.c;221;4.864503860473633;1-8;Random bit-flip;1
found_root;newton_raphson.hpp;54;1.6500060558319092;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;3.1160998344421387;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;3.334487199783325;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;2.713801383972168;1-8;Random bit-flip;1
x;newton_raphson.hpp;35;2.4641528129577637;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.025796175003052;1-8;Random bit-flip;1
currIter;newton_raphson.hpp;55;3.3540995121002197;1-8;Random bit-flip;1
result;newton_raphson_dup.cpp;32;5.536631345748901;1-8;Random bit-flip;1
h;newton_raphson.hpp;36;4.878770351409912;1-8;Random bit-flip;1
value;newton_raphson_dup.cpp;83;13.818429470062256;1-8;Random bit-flip;1
x0;newton_raphson_dup.cpp;30;8.9386727809906;1-8;Random bit-flip;1
x;newton_raphson.hpp;50;1.7352361679077148;1-8;Random bit-flip;1
eps;newton_raphson.hpp;46;7.580352783203125;1-8;Random bit-flip;1
f_x;newton_raphson.hpp;51;6.359148740768433;1-8;Random bit-flip;1
x;newton_raphson_dup.cpp;13;4.920132875442505;1-8;Random bit-flip;1
